id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2019-971510,2019-02-19,000001,Vente,216000,40,,RUE DE MEUDON,6220,92100,92012,Boulogne-Billancourt,92,,,92012000BG0007,,,177,,,,,,,,,,1,2,Appartement,36,2,,,,,,2.24266,48.828091
2019-971510,2019-02-19,000001,Vente,216000,40,,RUE DE MEUDON,6220,92100,92012,Boulogne-Billancourt,92,,,92012000BG0007,,,110,29.13,,,,,,,,,1,2,Appartement,30,2,,,,,,2.24266,48.828091
2019-971511,2019-02-22,000001,Vente,305000,40,,RUE DE MEUDON,6220,92100,92012,Boulogne-Billancourt,92,,,92012000BG0007,,,148,37.08,215,,,,,,,,2,2,Appartement,36,2,,,,,,2.24266,48.828091
2019-971511,2019-02-22,000001,Vente,305000,40,,RUE DE MEUDON,6220,92100,92012,Boulogne-Billancourt,92,,,92012000BG0007,,,222,,,,,,,,,,1,2,Appartement,30,2,,,,,,2.24266,48.828091
2019-971519,2019-02-04,000001,Vente,552000,19,,ALL ROBERT DOISNEAU,2575,92100,92012,Boulogne-Billancourt,92,,,92012000BD0084,,,150,,30,69.37,,,,,,,2,4,Local industriel. commercial ou assimilé,70,0,,,,,,2.236994,48.826954
2019-971519,2019-02-04,000001,Vente,552000,19,,ALL ROBERT DOISNEAU,2575,92100,92012,Boulogne-Billancourt,92,,,92012000BD0084,,,150,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.236994,48.826954
2019-971520,2019-02-25,000001,Vente,621500,162,B,RUE DE PARIS,7130,92100,92012,Boulogne-Billancourt,92,,,920120000E0143,,,151,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.233179,48.842184
2019-971520,2019-02-25,000001,Vente,621500,162,B,RUE DE PARIS,7130,92100,92012,Boulogne-Billancourt,92,,,920120000E0143,,,37,115.49,56,,,,,,,,2,2,Appartement,119,5,,,,,,2.233179,48.842184
2019-971522,2019-02-26,000001,Vente,310000,13,,RUE TRAVERSIERE,9190,92100,92012,Boulogne-Billancourt,92,,,92012000BJ0061,,,117,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.245847,48.824931
2019-971522,2019-02-26,000001,Vente,310000,13,,RUE TRAVERSIERE,9190,92100,92012,Boulogne-Billancourt,92,,,92012000BJ0061,,,202,55.07,63,,,,,,,,2,2,Appartement,50,2,,,,,,2.245847,48.824931
2019-971527,2019-02-22,000001,Vente,89950,14,B,RUE DE SEVRES,8555,92100,92012,Boulogne-Billancourt,92,,,92012000AG0001,,,32,13.06,,,,,,,,,1,2,Appartement,13,1,,,,,,2.227794,48.838624
2019-971528,2019-03-01,000001,Vente,293500,18,,RUE HEINRICH,4430,92100,92012,Boulogne-Billancourt,92,,,92012000BG0064,,,26,35.15,4,,,,,,,,2,2,Appartement,31,2,,,,,,2.243264,48.827232
2019-971529,2019-02-22,000001,Vente,184800,867,,CRS AQUITAINE,0138,92100,92012,Boulogne-Billancourt,92,,,92012000AY0088,,,205,88,,,,,,,,,1,2,Appartement,85,4,,,,,,2.232836,48.829701
2019-971529,2019-02-22,000001,Vente,184800,937,,CRS AQUITAINE,0138,92100,92012,Boulogne-Billancourt,92,,,92012000AY0088,,,334,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.232836,48.829701
2019-971530,2019-02-27,000001,Vente,755000,2,B,AV STADE DE COUBERTIN,8575,92100,92012,Boulogne-Billancourt,92,,,92012000BO0060,,,101,,4,,,,,,,,2,2,Appartement,94,4,,,,,,2.255187,48.834548
2019-971534,2019-02-07,000001,Vente,269000,3,,ALL ROBERT DOISNEAU,2575,92100,92012,Boulogne-Billancourt,92,,,92012000AX0059,,,32,36.67,,,,,,,,,1,2,Appartement,37,1,,,,,,2.238445,48.8289
